,TradeGroup,Ticker,PM_BASE_CASE,Outlier,BASE_CASE_NAV_IMPACT_AED,BASE_CASE_NAV_IMPACT_ARB,BASE_CASE_NAV_IMPACT_CAM,BASE_CASE_NAV_IMPACT_LEV,BASE_CASE_NAV_IMPACT_LG,BASE_CASE_NAV_IMPACT_MACO,BASE_CASE_NAV_IMPACT_MALT,BASE_CASE_NAV_IMPACT_TAQ,OUTLIER_NAV_IMPACT_AED,OUTLIER_NAV_IMPACT_ARB,OUTLIER_NAV_IMPACT_CAM,OUTLIER_NAV_IMPACT_LEV,OUTLIER_NAV_IMPACT_LG,OUTLIER_NAV_IMPACT_MACO,OUTLIER_NAV_IMPACT_MALT,OUTLIER_NAV_IMPACT_TAQ
0,AHSL SS - CVC,AHSL SS EQUITY,39.0,39.0,,-0.04,,,,-0.06,-0.04,,,-0.04,,,,-0.06,-0.04,
1,AMEAS FH - ANTA & CONSORTIUM,AMEAS FH EQUITY,23.25,23.25,-1.67,-0.84,-1.61,-2.0,-2.03,-0.84,-0.84,,-1.67,-0.84,-1.61,-2.0,-2.03,-0.84,-0.84,
2,ARRS - COMM,ARRS US EQUITY,22.5,22.5,,-0.61,,-1.0,,-0.61,-0.61,,,-0.61,,-1.0,,-0.61,-0.61,
3,ATTU - QLIK,ATTU US EQUITY,18.44,18.44,,-0.2,,,,-0.2,-0.2,,,-0.2,,,,-0.2,-0.2,
4,BEL - MC FP,BEL US EQUITY,11.81,11.81,-0.67,-1.0,-0.64,,-0.82,-1.0,-1.0,,-0.67,-1.0,-0.64,,-0.82,-1.0,-1.0,
5,BTG LN - BSX,BTG LN EQUITY,4.89,4.89,,-88.36,,-259.69,,-88.26,-88.23,,,-88.36,,-259.69,,-88.26,-88.23,
6,CELG - BMY,BMY US 03/15/19 C50 EQUITY,52.6851,75.0,,,,0.01,,,,,,,,-0.4,,,,
7,CELG - BMY,BMY US 03/15/19 P50 EQUITY,52.6851,75.0,,,,0.0,,,,,,,,0.0,,,,
8,CELG - BMY,BMY US 06/21/19 C52.5 EQUITY,52.6851,75.0,-0.01,0.0,-0.01,,-0.01,0.0,-0.01,,0.04,0.02,0.04,,0.05,0.02,0.03,
9,CELG - BMY,BMY US 06/21/19 C55 EQUITY,52.6851,75.0,0.0,0.0,0.0,-0.29,0.0,0.0,0.0,,0.02,0.01,0.02,1.62,0.02,0.01,0.01,
10,CELG - BMY,BMY US 06/21/19 P43 EQUITY,52.6851,75.0,,,,0.0,,,,,,,,0.0,,,,
11,CELG - BMY,BMY US EQUITY,52.6851,75.0,,,,0.0,,,,,,,,-2.16,,,,
12,CELG - BMY,CELG US 03/15/19 C80 EQUITY,72.5,72.5,,,,0.11,,,,,,,,0.11,,,,
13,CELG - BMY,CELG US 03/15/19 C85 EQUITY,72.5,72.5,,,,0.05,,,,,,,,0.05,,,,
14,CELG - BMY,CELG US 03/15/19 C90 EQUITY,72.5,72.5,,,,0.03,,,,,,,,0.03,,,,
15,CELG - BMY,CELG US 04/18/19 P70 EQUITY,72.5,72.5,,,,0.1,,,,,,,,0.1,,,,
16,CELG - BMY,CELG US 04/18/19 P85 EQUITY,72.5,72.5,,,,0.59,,,,,,,,0.59,,,,
17,CELG - BMY,CELG US 06/21/19 P70 EQUITY,72.5,72.5,,,,0.13,,,,,,,,0.13,,,,
18,CELG - BMY,CELG US 06/21/19 P85 EQUITY,72.5,72.5,0.05,0.03,0.05,0.31,0.06,0.03,0.02,,0.05,0.03,0.05,0.31,0.06,0.03,0.02,
19,CELG - BMY,CELG US EQUITY,72.5,72.5,-0.12,-0.06,-0.11,-1.7,-0.14,-0.06,-0.06,,-0.12,-0.06,-0.11,-1.7,-0.14,-0.06,-0.06,
20,CEVA SW - CMA CGM,CEVA SW EQUITY,14.85,14.85,,-0.23,,,,-0.23,-0.23,,,-0.23,,,,-0.23,-0.23,
21,CIVI - CENTERBRIDGE,CIVI US EQUITY,11.9,11.9,,-0.23,,-0.47,,-0.23,-0.23,,,-0.23,,-0.47,,-0.23,-0.23,
22,CMTA - IPSEY,CMTA US EQUITY,4.83,4.83,-0.25,-0.25,-0.24,,-0.31,-0.25,-0.25,,-0.25,-0.25,-0.24,,-0.31,-0.25,-0.25,
23,DCG LN - SAP CN,DCG LN EQUITY,4.0,4.0,-36.51,-18.19,-35.1,,-44.05,-18.19,-18.2,,-36.51,-18.19,-35.1,,-44.05,-18.19,-18.2,
24,DVMT CONVICTION TRADE,DELL US EQUITY,45.0,45.0,,-0.01,,,,-0.01,-0.01,,,-0.01,,,,-0.01,-0.01,
25,DVMT CONVICTION TRADE,MSFT US EQUITY,111.65,145.145,,0.0,,,,0.0,0.0,,,-0.01,,,,-0.01,-0.01,
26,DVMT CONVICTION TRADE,QQQ US EQUITY,173.34,190.674,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,0.0,
27,ELLI - THOMA BRAVO,ELLI US 04/18/19 C100 EQUITY,70.0,70.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,,,
28,ELLI - THOMA BRAVO,ELLI US EQUITY,70.0,70.0,-0.29,-0.29,-0.28,,-0.36,-0.29,-0.29,,-0.29,-0.29,-0.28,,-0.36,-0.29,-0.29,
29,ESL - TDG,ESL US EQUITY,76.78,76.78,-2.01,-1.0,-1.94,-2.99,-2.43,-1.0,-1.0,,-2.01,-1.0,-1.94,-2.99,-2.43,-1.0,-1.0,
30,FDC - FISV,FDC US EQUITY,18.24,18.24,-0.97,-0.64,-0.93,-1.23,-1.17,-0.64,-0.64,,-0.97,-0.64,-0.93,-1.23,-1.17,-0.64,-0.64,
31,FDC - FISV,FISV US EQUITY,85.265,85.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
32,FOXA - DIS,DIS US 03/15/19 P110 EQUITY,114.36,125.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33,FOXA - DIS,DIS US EQUITY,114.36,125.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.03,-0.03,-0.03,-0.1,-0.04,-0.03,-0.03,
34,FOXA - DIS,FOXA US 04/18/19 P40 EQUITY,30.0,30.0,0.03,0.02,0.02,0.05,0.03,0.02,0.02,,0.03,0.02,0.02,0.05,0.03,0.02,0.02,
35,FOXA - DIS,FOXA US EQUITY,30.0,30.0,-0.53,-0.52,-0.51,-2.73,-0.64,-0.52,-0.52,,-0.53,-0.52,-0.51,-2.73,-0.64,-0.52,-0.52,
36,FOXA - DIS,FOXA-W US EQUITY,10.75,10.75,0.23,0.21,0.21,6.27,0.23,0.21,0.21,,0.23,0.21,0.21,6.27,0.23,0.21,0.21,
37,G24 GY - BX US & HF,G24 GY EQUITY,33.0,33.0,-0.09,-0.09,-0.09,,-0.11,-0.09,-0.09,,-0.09,-0.09,-0.09,,-0.11,-0.09,-0.09,
38,GG - NEM,GG US 04/18/19 P10 EQUITY,9.69,9.69,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
39,GG - NEM,GG US EQUITY,9.69,9.69,-0.19,-0.11,-0.18,-0.38,-0.23,-0.11,-0.11,,-0.19,-0.11,-0.18,-0.38,-0.23,-0.11,-0.11,
40,GG - NEM,NEM US EQUITY,33.4,38.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.26,-0.15,-0.25,-0.6,-0.31,-0.15,-0.15,
41,GTO NA - HO FP,GTO NA EQUITY,30.0,30.0,,-0.35,,,,-0.35,-0.35,,,-0.35,,,,-0.35,-0.35,
42,HIFR - ONCOR ELECTRIC,HIFR US EQUITY,17.6,17.6,,-0.37,,-1.62,,-0.37,-0.37,,,-0.37,,-1.62,,-0.37,-0.37,
43,IDTI - RENESAS,IDTI US EQUITY,37.49,37.49,-0.89,-0.5,-0.86,-1.27,-1.08,-0.5,-0.5,,-0.89,-0.5,-0.86,-1.27,-1.08,-0.5,-0.5,
44,IMDZ - MRK,IMDZ US EQUITY,1.0,1.0,,-0.15,,,,-0.15,-0.15,,,-0.15,,,,-0.15,-0.15,
45,JLT LN - MMC,JLT LN EQUITY,12.8,12.8,,-36.34,,,,-36.11,-35.45,,,-36.34,,,,-36.11,-35.45,
46,KWH-U CN - VST,KWH-U CN EQUITY,4.0,4.0,,-0.22,,,,-0.22,-0.22,,,-0.22,,,,-0.22,-0.22,
47,LABL - PLATINUM EQUITY,LABL US EQUITY,35.0,35.0,-0.3,-0.15,-0.29,,-0.37,-0.15,-0.15,,-0.3,-0.15,-0.29,,-0.37,-0.15,-0.15,
48,LLL - HRS,HRS US EQUITY,161.1,209.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.15,-0.81,-1.11,-1.56,-1.39,-0.81,-0.81,
49,LLL - HRS,LLL US EQUITY,168.45,168.45,-0.7,-0.5,-0.67,-0.95,-0.85,-0.5,-0.5,,-0.7,-0.5,-0.67,-0.95,-0.85,-0.5,-0.5,
50,LXFT - DXC,LXFT US 07/19/19 P45 EQUITY,32.8,32.8,0.43,0.22,0.42,1.65,0.52,0.22,0.21,,0.43,0.22,0.42,1.65,0.52,0.22,0.21,
