TradeGroup,FundCode,RiskLimit,BASE_CASE_NAV_IMPACT,OUTLIER_NAV_IMPACT
AHSL SS - CVC,ARB,-1.0,-0.04,-0.04
AHSL SS - CVC,MACO,-1.0,-0.06,-0.06
AHSL SS - CVC,MALT,-1.0,-0.04,-0.04
AMEAS FH - ANTA & CONSORTIUM,AED,-0.85,-1.68,-1.68
AMEAS FH - ANTA & CONSORTIUM,ARB,-0.85,-0.84,-0.84
AMEAS FH - ANTA & CONSORTIUM,CAM,-0.85,-1.62,-1.62
AMEAS FH - ANTA & CONSORTIUM,LEV,-0.85,-2.01,-2.01
AMEAS FH - ANTA & CONSORTIUM,LG,-0.85,-2.04,-2.04
AMEAS FH - ANTA & CONSORTIUM,MACO,-0.85,-0.84,-0.84
AMEAS FH - ANTA & CONSORTIUM,MALT,-0.85,-0.84,-0.84
ARRS - COMM,ARB,-0.75,-0.61,-0.61
ARRS - COMM,LEV,-0.75,-1.0,-1.0
ARRS - COMM,MACO,-0.75,-0.61,-0.61
ARRS - COMM,MALT,-0.75,-0.61,-0.61
ATTU - QLIK,ARB,-0.25,-0.2,-0.2
ATTU - QLIK,MACO,-0.25,-0.2,-0.2
ATTU - QLIK,MALT,-0.25,-0.2,-0.2
BEL - MC FP,AED,-1.0,-0.67,-0.67
BEL - MC FP,ARB,-1.0,-1.0,-1.0
BEL - MC FP,CAM,-1.0,-0.64,-0.64
BEL - MC FP,LG,-1.0,-0.82,-0.82
BEL - MC FP,MACO,-1.0,-1.0,-1.0
BEL - MC FP,MALT,-1.0,-1.0,-1.0
BTG LN - BSX,ARB,-0.5,-0.37,-0.37
BTG LN - BSX,LEV,-0.5,-1.08,-1.08
BTG LN - BSX,MACO,-0.5,-0.37,-0.37
BTG LN - BSX,MALT,-0.5,-0.37,-0.37
CELG - BMY,AED,-0.3,-0.14,-0.07
CELG - BMY,ARB,-0.3,-0.07,-0.04000000000000001
CELG - BMY,CAM,-0.3,-0.14,-0.08
CELG - BMY,LEV,-0.3,-0.6899999999999998,-1.2299999999999998
CELG - BMY,LG,-0.3,-0.17,-0.09
CELG - BMY,MACO,-0.3,-0.07,-0.04000000000000001
CELG - BMY,MALT,-0.3,-0.06,-0.009999999999999998
CEVA SW - CMA CGM,ARB,-0.25,-0.23,-0.23
CEVA SW - CMA CGM,MACO,-0.25,-0.23,-0.23
CEVA SW - CMA CGM,MALT,-0.25,-0.23,-0.23
CIVI - CENTERBRIDGE,ARB,-0.25,-0.23,-0.23
CIVI - CENTERBRIDGE,LEV,-0.25,-0.47,-0.47
CIVI - CENTERBRIDGE,MACO,-0.25,-0.23,-0.23
CIVI - CENTERBRIDGE,MALT,-0.25,-0.23,-0.23
CMTA - IPSEY,AED,-0.25,-0.26,-0.26
CMTA - IPSEY,ARB,-0.25,-0.26,-0.26
CMTA - IPSEY,CAM,-0.25,-0.25,-0.25
CMTA - IPSEY,LG,-0.25,-0.31,-0.31
CMTA - IPSEY,MACO,-0.25,-0.26,-0.26
CMTA - IPSEY,MALT,-0.25,-0.26,-0.26
DCG LN - SAP CN,AED,-0.25,-0.14,-0.14
DCG LN - SAP CN,ARB,-0.25,-0.07,-0.07
DCG LN - SAP CN,CAM,-0.25,-0.14,-0.14
DCG LN - SAP CN,LG,-0.25,-0.17,-0.17
DCG LN - SAP CN,MACO,-0.25,-0.07,-0.07
DCG LN - SAP CN,MALT,-0.25,-0.07,-0.07
DVMT CONVICTION TRADE,ARB,-0.5,-0.01,-0.02
DVMT CONVICTION TRADE,MACO,-0.5,-0.01,-0.02
DVMT CONVICTION TRADE,MALT,-0.5,-0.01,-0.02
ELLI - THOMA BRAVO,AED,-0.3,-0.3,-0.3
ELLI - THOMA BRAVO,ARB,-0.3,-0.3,-0.3
ELLI - THOMA BRAVO,CAM,-0.3,-0.29,-0.29
ELLI - THOMA BRAVO,LG,-0.3,-0.36,-0.36
ELLI - THOMA BRAVO,MACO,-0.3,-0.3,-0.3
ELLI - THOMA BRAVO,MALT,-0.3,-0.3,-0.3
